所属同花顺二级行业,个股总数
专用设备,197
中药,68
交运设备服务,13
仪器仪表,39
传媒,145
保险及其他,36
光学光电子,80
公交,9
公路铁路运输,26
其他电子,33
养殖业,22
农业服务,12
农产品加工,33
包装印刷,39
化学制品,219
化学制药,119
化工合成材料,79
化工新材料,18
医疗器械服务,105
医药商业,26
半导体及元件,107
园区开发,11
国防军工,74
基础化学,56
家用轻工,69
建筑材料,69
建筑装饰,127
房地产开发,114
新材料,39
景点及旅游,25
有色冶炼加工,92
服装家纺,56
机场航运,12
汽车整车,24
汽车零部件,139
港口航运,30
煤炭开采加工,35
燃气水务,44
物流,43
环保工程,72
生物制品,43
电力,73
电子制造,74
电气设备,212
白色家电,53
石油矿业开采,13
种植业与林业,21
纺织制造,32
综合,31
视听器材,9
计算机应用,212
计算机设备,49
证券,48
贸易,25
通信服务,33
通信设备,103
通用设备,135
造纸,22
酒店及餐饮,9
采掘服务,15
钢铁,35
银行,37
零售,78
非汽车交运,30
食品加工制造,64
饮料制造,42
